Website,Link,Broadband Provider,Link Load Time (Average of 5 tries),Link is dead or timed out (Y/N)
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,https://bit.ly/AkshayKumarMoRD,ACT-Fibernet,1512.4,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,https://bit.ly/SachinTendulkarMoRD,ACT-Fibernet,920.2,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,https://bit.ly/AmitabhMemories,ACT-Fibernet,809.2,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,https://bit.ly/AmitabhPostCovid,ACT-Fibernet,852.6,N
https://nrega.nic.in/netnrega/home.aspx,NA,ACT-Fibernet,NA,Y
https://nrega.nic.in/netnrega/home.aspx,https://youtu.be/SutxDDFu338,ACT-Fibernet,843.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/Janmanrega.htm,ACT-Fibernet,64.2,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/Feedbacknrega.aspx,ACT-Fibernet,378.6,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/Netnrega/UserMasterReport.aspx,ACT-Fibernet,155.6,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/statepage.aspx?Page=C&Digest=GmpYzpnzFJIVhl6rY0MeSw,ACT-Fibernet,300.0,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/netnrega/statepage.aspx?check=ml&Digest=VybWnGOdBWpr6yAbzIt/pg,ACT-Fibernet,251.6,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/morelabour.aspx,ACT-Fibernet,134.6,N
https://nrega.nic.in/netnrega/home.aspx,http://nrega.nic.in/circular/People_Report.html,ACT-Fibernet,34.4,N
https://nrega.nic.in/netnrega/home.aspx,http://nregade.nic.in/netnrega/Login.aspx?&level=HomePO&state_code=06,ACT-Fibernet,262.8,N
https://nrega.nic.in/netnrega/home.aspx,http://nregade.nic.in/Netnrega/Login.aspx?&level=HomeGP&state_code=06,ACT-Fibernet,228.8,N
https://nrega.nic.in/netnrega/home.aspx,http://mgnrega.nic.in/Netnrega/Data/GeoMGNREGA_Standard_Operating_Manual_22Nov2016.pdf,ACT-Fibernet,32.8,N
https://nrega.nic.in/netnrega/home.aspx,http://mgnrega.nic.in/Netnrega/Data/GeoMGNREGA_Standard_Operating_Manual_Hindi_26Nov2016.pdf,ACT-Fibernet,26.6,N
https://nrega.nic.in/netnrega/home.aspx,http://mgnrega.nic.in/Netnrega/Data/GeoMGNREGA_FAQ_English_22Nov2016.pdf,ACT-Fibernet,26.2,N
https://nrega.nic.in/netnrega/home.aspx,http://mgnrega.nic.in/Netnrega/Data/GeoMGNREGA_FAQ_Hindi_25Nov2016.pdf,ACT-Fibernet,25.8,N
https://nrega.nic.in/netnrega/home.aspx,http://ruraldiksha.nic.in/daily/sancrelease/RepNregaMotherSanc1617.asp?dept_code=rd&scheme_cod=26&financial_year=2021-2022,ACT-Fibernet,27.0,N
https://nrega.nic.in/netnrega/home.aspx,http://ruraldiksha.nic.in/daily/sancrelease/RepNregaMotherSanc1617.asp?dept_code=rd&scheme_cod=26&financial_year=2020-2021,ACT-Fibernet,55.2,N
https://nrega.nic.in/netnrega/home.aspx,http://ruraldiksha.nic.in/daily/sancrelease/repschemebt1415.asp?dept_code=rd&scheme_cod=26&financial_year=2021-2022,ACT-Fibernet,21.8,N
https://nrega.nic.in/netnrega/home.aspx,http://ruraldiksha.nic.in/daily/sancrelease/repschemebt1415.asp?dept_code=rd&scheme_cod=26&financial_year=2020-2021,ACT-Fibernet,9253.8,N
https://nrega.nic.in/netnrega/home.aspx,http://mnregaweb4.nic.in/netnrega/SDGDashboard/index.html,ACT-Fibernet,1877.6,N
